vesselID,datasource,species,quart,n_shots,avg_hks1000,avg_target,se_target,avg_bycatch,se_bycatch
2,Observer,Blue,Q4,11,2.265909090909091,22.181818181818183,2.4746650161484,0,0
2,Observer,Silky,Q1,11,2.265909090909091,22.181818181818183,2.4746650161484,0.09090909090909091,0.09090909090909091
3,Observer,Blue,Q3,10,2.064,17.1,3.49745939536433,3.2,0.6110100926607787
3,Observer,Silky,Q2,10,2.064,17.1,3.49745939536433,0,0
4,Observer,Blue,Q2,23,1.8859565217391305,10,1.3469332756346388,0,0
4,Observer,Silky,Q1,23,1.8859565217391305,10,1.3469332756346388,0.08695652173913043,0.060073850409370216
5,Logbook,Blue,NA,260,2.19,17.33076923076923,0.7769086678641596,0.7423076923076923,0.08387470461007665
5,Logbook,Silky,NA,260,2.19,17.33076923076923,0.7769086678641596,0.19230769230769232,0.03703934273680419
6,Logbook,Blue,Q4,370,2.5101243243243245,16.524324324324326,0.7694749569517014,0.14594594594594595,0.028911110878462546
6,Logbook,Silky,Q3,370,2.5101243243243245,16.524324324324326,0.7694749569517014,0.013513513513513514,0.006010582011245849
6,Observer,Blue,Q3,22,1.9339090909090908,10.590909090909092,1.7760541542739663,0,0
6,Observer,Silky,Q1,22,1.9339090909090908,10.590909090909092,1.7760541542739663,0,0
7,Logbook,Blue,Q2,205,2.4573853658536584,14.91219512195122,0.6731230792884453,0.6,0.06131041511386724
7,Logbook,Silky,Q1,205,2.4573853658536584,14.91219512195122,0.6731230792884453,0.04878048780487805,0.02046342289931882
7,Observer,Blue,Q2,42,2.1355,5.333333333333333,0.8345519545059179,0.2619047619047619,0.10257726364486691
7,Observer,Silky,Q1,42,2.1355,5.333333333333333,0.8345519545059179,0.023809523809523808,0.023809523809523808
8,EM,Blue,NA,146,2.0717739726027395,15.787671232876713,1.2147032195492584,0.5684931506849316,0.08634035004543579
8,EM,Silky,NA,146,2.0717739726027395,15.787671232876713,1.2147032195492584,0.773972602739726,0.1228578557151763
8,Logbook,Blue,Q3,517,2.3443520309477757,14.37137330754352,0.4743929984468188,1.253384912959381,0.05865505687754695
8,Logbook,Silky,Q1,517,2.3443520309477757,14.37137330754352,0.4743929984468188,1.8007736943907158,0.10008916920401824
8,Observer,Blue,Q4,90,2.1130555555555555,14.866666666666667,1.1251522299556989,0.6111111111111112,0.15618296869848444
8,Observer,Silky,Q3,90,2.1130555555555555,14.866666666666667,1.1251522299556989,0.12222222222222222,0.03814610776373576
9,EM,Blue,Q4,119,1.9397058823529412,14.697478991596638,0.9452732221121086,0.12605042016806722,0.04056751280053016
9,EM,Silky,Q3,119,1.9397058823529412,14.697478991596638,0.9452732221121086,0.16806722689075632,0.03643282148789056
9,Logbook,Blue,Q4,478,2.3380062761506277,15.108786610878662,0.5268854091886692,0.5251046025104602,0.033192166062807574
9,Logbook,Silky,Q4,478,2.3380062761506277,15.108786610878662,0.5268854091886692,0.45188284518828453,0.03151074363411937
9,Observer,Blue,Q4,80,2.116,18.3875,1.4593103267457663,0.6,0.1396197367354485
9,Observer,Silky,Q2,80,2.116,18.3875,1.4593103267457663,0.7125,0.14029100632505348
10,EM,Blue,Q1,118,2.251957627118644,16.73728813559322,1.33807435925223,0.025423728813559324,0.014552399522167074
10,EM,Silky,Q1,118,2.251957627118644,16.73728813559322,1.33807435925223,0.17796610169491525,0.04603873170565774
10,Logbook,Blue,Q3,433,2.3287759815242493,13.935334872979215,0.5018899219958686,0.03233256351039261,0.010222522087268199
10,Logbook,Silky,Q4,433,2.3287759815242493,13.935334872979215,0.5018899219958686,0.6928406466512702,0.05683106304423267
10,Observer,Blue,Q4,25,2.32456,18.64,2.8559178326182053,0.16,0.07483314773547883
10,Observer,Silky,Q4,25,2.32456,18.64,2.8559178326182053,0.64,0.2227105745132009
11,EM,Blue,Q1,115,1.2679739130434782,17.51304347826087,1.5262446105879581,0.3217391304347826,0.062429610812272864
11,EM,Silky,Q1,115,1.2679739130434782,17.51304347826087,1.5262446105879581,1.391304347826087,0.2273099585704076
11,Logbook,Blue,Q1,436,2.5702889908256883,15.93348623853211,0.5993822222103269,0.8899082568807339,0.05148412148422053
11,Logbook,Silky,Q4,436,2.5702889908256883,15.93348623853211,0.5993822222103269,0,0
11,Observer,Blue,Q4,68,1.6941029411764705,15.838235294117647,1.5135632469183922,0.1323529411764706,0.05091098018830442
11,Observer,Silky,Q2,68,1.6941029411764705,15.838235294117647,1.5135632469183922,0.5294117647058824,0.16426945817220198
12,EM,Blue,Q3,207,2.2433961352657006,17.22705314009662,1.2416630522309358,0.2222222222222222,0.04102761026591185
12,EM,Silky,Q4,207,2.2433961352657006,17.22705314009662,1.2416630522309358,0.3671497584541063,0.05972291490174558
12,Logbook,Blue,Q4,433,2.4734411085450345,14.648960739030024,0.6410954271902466,0.03695150115473441,0.009076078616282984
12,Logbook,Silky,Q1,433,2.4734411085450345,14.648960739030024,0.6410954271902466,0.011547344110854504,0.005140165672058026
12,Observer,Blue,Q2,61,1.899327868852459,11.901639344262295,1.2393160721921879,0.04918032786885246,0.027917026829387542
12,Observer,Silky,Q4,61,1.899327868852459,11.901639344262295,1.2393160721921879,0.19672131147540983,0.08690071003736768
13,EM,Blue,Q2,56,2.076660714285714,15.875,1.2769338529990757,0.14285714285714285,0.04718416136255831
13,EM,Silky,Q2,56,2.076660714285714,15.875,1.2769338529990757,0.08928571428571429,0.04612789753884692
13,Logbook,Blue,Q1,191,2.3048376963350785,14.303664921465968,1.0257418050404996,0.5026178010471204,0.037762105448008745
