param,cf,std_err,t_val,p_val,species,source,posneg,psignif
vesselname1,1.29326706223727,0.0816324446352388,15.8425619619261,7.5636328350041e-56,Blue,Logbook,positive,Yes
vesselname2,-0.466224032411922,0.13737854634055,-3.39371790451321,6.92188998809781e-4,Blue,Logbook,negative,Yes
vesselname3,1.08402118908446,0.0993606498131484,10.9099647709934,1.4776151370619499e-27,Blue,Logbook,positive,Yes
vesselname4,1.92899412511337,0.0543443556464135,35.4957585230045,5.2998784029939995e-260,Blue,Logbook,positive,Yes
vesselname5,1.13801401886768,0.0730679182221215,15.5747426032886,4.66574636494585e-54,Blue,Logbook,positive,Yes
vesselname6,-1.49017919164468,0.243304828664441,-6.12474154263456,9.42561686207363e-10,Blue,Logbook,negative,Yes
vesselname7,1.43498504700273,0.0633779371450956,22.6417127417308,1.00439137010748e-110,Blue,Logbook,positive,Yes
vesselname8,-1.68641141553206,0.228516911295808,-7.37981012420151,1.71156886786545e-13,Blue,Logbook,negative,Yes
vesselname9,1.32644102281499,0.110394196475797,12.015495969535,4.97651149875342e-33,Blue,Logbook,positive,Yes
vesselname10,1.44505313238855,0.107017218314515,13.502996575202,3.4493993169980997e-41,Blue,Logbook,positive,Yes
vesselname11,-0.553189770174579,0.143098729473855,-3.86579092776397,1.11431890841607e-4,Blue,Logbook,negative,Yes
vesselname12,-0.32332553772763,0.106784097974126,-3.02784350724179,0.0024693457242636,Blue,Logbook,negative,Yes
vesselname13,0.0811275918810658,0.097452999900944,0.832479163940852,0.405158453813152,Blue,Logbook,positive,No
vesselname14,-0.488222598493435,0.230462140229826,-2.11845033638306,0.0341615885641949,Blue,Logbook,negative,Yes
vesselname15,-0.324974763201106,0.12197886587103,-2.66418908620374,0.00772982035370596,Blue,Logbook,negative,Yes
vesselname16,-1.57160757162314,0.550083505143052,-2.85703453553735,0.00428503206103931,Blue,Logbook,negative,Yes
vesselname17,-1.0087955660909,0.163687245569418,-6.16294545480077,7.41640598946071e-10,Blue,Logbook,negative,Yes
vesselname18,-0.187730279995639,0.115261908010599,-1.62872785325032,0.103402205749562,Blue,Logbook,negative,No
vesselname19,1.20452138814963,0.146606903452798,8.21599365228691,2.36525595112038e-16,Blue,Logbook,positive,Yes
