vesselID,datasource,count_sets,obs_cover_pcnt,meanhooks,catch_grp,spc_avg_1000hks,spc_avg_set
5,logbook,368,1.9,2189.887640449438,blue_shark,0.24413400436902793,0.001452788148861857
5,logbook,368,1.9,2189.887640449438,silky_shark,0.06324715139093989,3.7636998675177647e-4
5,observer,368,1.9,2189.887640449438,blue_shark,0,0
5,observer,368,1.9,2189.887640449438,silky_shark,0,0
6,logbook,523,4.4,2471.4809160305344,blue_shark,0.04369849643567537,2.0650095602294454e-4
6,logbook,523,4.4,2471.4809160305344,silky_shark,0.004046157077377348,1.9120458891013384e-5
6,observer,523,4.4,2471.4809160305344,blue_shark,0,0
6,observer,523,4.4,2471.4809160305344,silky_shark,0,0
7,logbook,303,13.9,2401.104417670683,blue_shark,0.1962698349758844,0.0015553279465877622
7,logbook,303,13.9,2401.104417670683,silky_shark,0.015956897152510925,1.2644942655185058e-4
7,observer,303,13.9,2401.104417670683,blue_shark,0.10907678982109256,8.643721515008643e-4
7,observer,303,13.9,2401.104417670683,silky_shark,0.009916071801917505,7.857928650007858e-5
8,logbook,787,11.4,2226.5205843293493,blue_shark,0.41755675437953704,0.001181319833229725
8,logbook,787,11.4,2226.5205843293493,silky_shark,0.5999156455668966,0.0016972357480507312
8,observer,787,11.4,2226.5205843293493,blue_shark,0.2744691045805822,7.765071297472822e-4
8,observer,787,11.4,2226.5205843293493,silky_shark,0.054893820916116436,1.5530142594945645e-4
9,logbook,777,10.3,2236.032448377581,blue_shark,0.16105078344442464,4.6346818226301726e-4
9,logbook,777,10.3,2236.032448377581,silky_shark,0.13859350288444508,3.9884114489566425e-4
9,observer,777,10.3,2236.032448377581,blue_shark,0.26833242086238396,7.722007722007722e-4
9,observer,777,10.3,2236.032448377581,silky_shark,0.31864474977408097,9.16988416988417e-4
10,logbook,648,5.1,2298.2725694444443,blue_shark,0.00990492944349902,3.512998092943892e-5
10,logbook,648,5.1,2298.2725694444443,silky_shark,0.21224848807497898,7.527853056308341e-4
10,observer,648,5.1,2298.2725694444443,blue_shark,0.05274053340044933,1.8705574261129816e-4
10,observer,648,5.1,2298.2725694444443,silky_shark,0.21096213360179733,7.482229704451926e-4
11,logbook,695,9.9,2201.195476575121,blue_shark,0.2815780394359323,8.918105132507413e-4
11,logbook,695,9.9,2201.195476575121,silky_shark,0,0
11,observer,695,9.9,2201.195476575121,blue_shark,0.059256337747723084,1.8767594619956208e-4
11,observer,695,9.9,2201.195476575121,silky_shark,0.23702535099089234,7.507037847982483e-4
12,logbook,670,9.3,2334.0484330484333,blue_shark,0.011274740104391886,3.927729772191673e-5
12,logbook,670,9.3,2334.0484330484333,silky_shark,0.003523356282622464,1.227415553809898e-5
12,observer,670,9.3,2334.0484330484333,blue_shark,0.020730973740333468,7.221954742416948e-5
12,observer,670,9.3,2334.0484330484333,silky_shark,0.08292389496133387,2.888781896966779e-4
13,logbook,310,10,2231.04609929078,blue_shark,0.15422631635211695,0.001109954908081859
13,logbook,310,10,2231.04609929078,silky_shark,0.14298064745144173,0.0010290206960342236
13,observer,310,10,2231.04609929078,blue_shark,0,0
13,observer,310,10,2231.04609929078,silky_shark,0.028917434316021923,2.081165452653486e-4
15,logbook,157,0,2257.2727272727275,blue_shark,0.2906387639772106,0.004178668505821738
15,logbook,157,0,2257.2727272727275,silky_shark,0.019752149008159945,2.8398718000730255e-4
16,logbook,620,11.1,2132.632443531827,blue_shark,0.04169927165388676,1.4343422516246122e-4
16,logbook,620,11.1,2132.632443531827,silky_shark,0.0068080443516549795,2.3417832679585503e-5
16,observer,620,11.1,2132.632443531827,blue_shark,0.03397855468987222,1.168770453482936e-4
16,observer,620,11.1,2132.632443531827,silky_shark,0.027182843751897782,9.350163627863488e-5
17,logbook,859,0.1,2335.981735159817,blue_shark,0.047398748481668064,1.2889710212178197e-4
17,logbook,859,0.1,2335.981735159817,silky_shark,0.011974420669052984,3.256347843076597e-5
17,observer,859,0.1,2335.981735159817,blue_shark,0,0
17,observer,859,0.1,2335.981735159817,silky_shark,0,0
18,logbook,877,5.9,2091.307475317348,blue_shark,0.0701315652517383,1.6723679209426073e-4
18,logbook,877,5.9,2091.307475317348,silky_shark,0.019126790523201355,4.561003420752566e-5
