param,Estimate,std_err,t_val,p_val,species
vesselname1,-0.191429395724358,2.01334253635988,-0.0950803910746661,0.924274813446164,Blue
vesselname2,-0.487883737207884,1.82700535198353,-0.267040124802153,0.789507176796518,Blue
vesselname3,3.5387898063254,0.620728213346682,5.70102942034141,1.67564431710987e-8,Blue
vesselname4,-1.45714689991697,1.46184529756659,-0.996785981623745,0.319170184016429,Blue
vesselname5,-0.113472016798614,2.06944364826602,-0.0548321365955973,0.956285905205206,Blue
vesselname6,-0.560108677479135,1.78834395851711,-0.313199636351597,0.754210733824232,Blue
vesselname7,1.46057618366732,0.560099282191619,2.60770943671311,0.00928514958507363,Blue
vesselname8,1.18318122703954,0.451521846246901,2.62042963562954,0.00894869232649641,Blue
vesselname9,2.35462915108835,0.475204804919219,4.95497757327732,8.8331052367766e-7,Blue
vesselname10,2.65539033668619,0.686133049128739,3.87008079563874,1.17673747544831e-4,Blue
vesselname11,-0.285941002667743,0.645621489681768,-0.442892634829559,0.657963277153451,Blue
vesselname12,-0.463194698524953,0.697643727672063,-0.663941608234002,0.506919224971158,Blue
vesselname13,-1.6340587614486,1.42361545510261,-1.14782313973321,0.25138514176859,Blue
vesselname14,-0.244729343899543,1.96958186963657,-0.124254466225717,0.901145051257649,Blue
vesselname15,1.10676714198478,0.689889243413504,1.60426786263343,0.109050204966118,Blue
vesselname16,0.144871983181099,2.31829094284138,0.0624908550104324,0.95018757354146,Blue
vesselname17,-0.00698444093535985,0.970371461192703,-0.00719769821628423,0.994258914026569,Blue
vesselname18,-0.0992017726234391,2.08003164474271,-0.0476924343310699,0.961973282164364,Blue
vesselname19,-1.06453015853952,1.61510893765365,-0.659107341753692,0.510016749988462,Blue
vesselname20,0.943744049387765,1.02561959777232,0.920169672496127,0.357761829104553,Blue
vesselname21,4.33187818643398,0.705589140288941,6.13937763364678,1.30424243922818e-9,Blue
vesselname22,-1.5677063655446,1.45336705562657,-1.0786720116404,0.281059500824676,Blue
vesselname23,-1.05899021114826,1.582909108271,-0.669015173148503,0.503679054452834,Blue
vesselname24,-1.20115445568732,1.53305119037726,-0.783505771514211,0.433562355089467,Blue
vesselname25,-0.806819586524821,1.68207385581816,-0.479657646264519,0.631602118120224,Blue
vesselname26,-0.325400475076491,1.918767937626,-0.169588238731514,0.86537690050905,Blue
vesselname27,-0.854511446161951,1.65766298104327,-0.515491662620198,0.606352093868599,Blue
vesselname28,-2.02146818680247,1.39732473397075,-1.44667029621533,0.148381474520591,Blue
vesselname29,1.5639435400461,0.536408179927453,2.91558480755759,0.00364953701807006,Blue
vesselname1,-0.120127644059701,0.803335324161227,-0.149536115799623,0.88116837747017,Silky
vesselname2,-0.212710711802346,0.6976932765662,-0.304877112832782,0.760539202684642,Silky
vesselname3,-0.193109429048319,0.761601549168565,-0.253557032885681,0.79990307122495,Silky
vesselname4,0.405386774409915,0.687501864254677,0.589651891125264,0.555590874269162,Silky
vesselname5,-0.219360686358965,0.796237149919216,-0.275496673800287,0.78300596410675,Silky
vesselname6,-0.304517725899902,0.754957337182839,-0.403357528832324,0.686793220779259,Silky
vesselname7,0.0993394312699233,0.744139946371235,0.133495630431275,0.893835059485736,Silky
vesselname8,-0.0858120520682399,0.430345920792508,-0.199402499064501,0.841998676438927,Silky
vesselname9,0.793256452679627,0.37615232538525,2.10887026118258,0.0352666493950085,Silky
vesselname10,-0.13016595801159,0.426145355566499,-0.305449669487899,0.760103312972555,Silky
vesselname11,1.1520433943305,0.396760836921553,2.9036217467156,0.00379044942237839,Silky
vesselname12,-0.613536799590542,0.422691447768538,-1.45150038598961,0.147033375722507,Silky
vesselname13,-0.268971642810228,0.553122281985306,-0.486278805917592,0.62690294488948906,Silky
vesselname14,0.00405447069443997,0.817720074949169,0.00495826239155497,0.996045133766142,Silky
vesselname15,0.151825466837358,0.782496730362577,0.194026966434745,0.846204120636086,Silky
vesselname16,0.0455202351124175,0.831093461480717,0.0547714995029758,0.95633420855705,Silky
vesselname17,0.0187441281148788,0.784305250788652,0.0238990215812412,0.980939126298905,Silky
vesselname18,-0.152710210460236,0.775573676087652,-0.196899682349427,0.843956152708413,Silky
vesselname19,0.0206756695070846,0.821166515470833,0.0251784128036806,0.97991894703188,Silky
vesselname20,0.488631985612996,0.761772320233251,0.641440982606691,0.521420304385153,Silky
vesselname21,-0.203922088324596,0.766909931943481,-0.265900961548148,0.790384130817067,Silky
vesselname22,-0.723040110562834,0.637128015321143,-1.13484275243867,0.256781788308057,Silky
vesselname23,1.29498455605049,0.625998727320549,2.06866963067703,0.0388984812913695,Silky
vesselname24,-0.0203848511330046,0.811697522495214,-0.0251138516110536,0.979970426984532,Silky
vesselname25,0.0204628392338119,0.821784413762766,0.0249004956666398,0.98014055383275,Silky
vesselname26,-0.145760485833183,0.780789513534572,-0.186683457329411,0.851956251278263,Silky
vesselname27,-0.142210294897577,0.781265276766119,-0.18202561809252,0.855608825151664,Silky
vesselname28,0.297016430558563,0.716299710591706,0.414653846939586,0.678506708859664,Silky
vesselname29,0.151980234917927,0.720994974038762,0.210792363872645,0.833103083449252,Silky
