vesselID,count_sets,obs_cover_pcnt,meanhooks,catch_grp,grp_avg_1000hks_observer,grp_avg_1000hks_logbook,grp_avg_set_observer,grp_avg_set_logbook,diff_avg_set,diff_avg_1000hks
1,368,1.9,2189.887640449438,blue_shark,0,0.2441340043690279,0,0.00145278814886185,-0.00145278814886185,-0.2441340043690279
1,368,1.9,2189.887640449438,other_sharks_and_rays,0,0.01517931633382557,0,9.032879682042637e-5,-9.032879682042637e-5,-0.01517931633382557
1,368,1.9,2189.887640449438,silky_shark,0,0.06324715139093989,0,3.7636998675177647e-4,-3.7636998675177647e-4,-0.06324715139093989
1,368,1.9,2189.887640449438,tunas_and_billfishes,7.371545847687458,5.7137476566575085,0.04386645962732919,0.03400126460315549,0.0098651950241737,1.6577981910299495
2,523,4.4,2471.4809160305344,blue_shark,0,0.04369849643567537,0,2.0650095602294457e-4,-2.0650095602294457e-4,-0.04369849643567537
2,523,4.4,2471.4809160305344,other_sharks_and_rays,0,0.00485538849285281,0,2.294455066921606e-5,-2.294455066921606e-5,-0.00485538849285281
2,523,4.4,2471.4809160305344,silky_shark,0,0.00404615707737734,0,1.9120458891013384e-5,-1.9120458891013384e-5,-0.00404615707737734
2,523,4.4,2471.4809160305344,tunas_and_billfishes,4.433180797822139,4.959779345449154,0.02094937235015379,0.0234378585086042,-0.00248848615845041,-0.5265985476270147
3,303,13.9,2401.104417670683,blue_shark,0.10907678982109256,0.1962698349758844,8.643721515008643e-4,0.00155532794658776,-6.909557950868978e-4,-0.08719304515479184
3,303,13.9,2401.104417670683,other_sharks_and_rays,0,0.01436120743725983,0,1.1380448389666552e-4,-1.1380448389666552e-4,-0.01436120743725983
3,303,13.9,2401.104417670683,silky_shark,0.0099160718019175,0.01595689715251092,7.857928650007858e-5,1.2644942655185058e-4,-4.7870140051772006e-5,-0.00604082535059342
3,303,13.9,2401.104417670683,tunas_and_billfishes,2.736835817329231,4.919511392119119,0.02168788307402168,0.03898435820593553,-0.01729647513191385,-2.1826755747898883
4,787,11.4,2226.5205843293493,blue_shark,0.2744691045805822,0.41755675437953704,7.765071297472822e-4,0.00118131983322972,-4.048127034824427e-4,-0.14308764979895483
4,787,11.4,2226.5205843293493,other_sharks_and_rays,0.00998069471202117,0.6082925557627824,2.8236622899901173e-5,0.00172093506569268,-0.00169269844279278,-0.5983118610507613
4,787,11.4,2226.5205843293493,silky_shark,0.05489382091611643,0.5999156455668966,1.5530142594945645e-4,0.00169723574805073,-0.00154193432210127,-0.5450218246507802
4,787,11.4,2226.5205843293493,tunas_and_billfishes,7.091283592891042,6.5539656617195545,0.02006212057037978,0.01854198151817828,0.00152013905220149,0.5373179311714873
5,777,10.3,2236.032448377581,blue_shark,0.26833242086238396,0.16105078344442464,7.722007722007722e-4,4.6346818226301726e-4,3.0873258993775494e-4,0.10728163741795932
5,777,10.3,2236.032448377581,other_sharks_and_rays,0.03913181137576432,0.1751667883678403,1.126126126126126e-4,5.040908914653535e-4,-3.914782788527409e-4,-0.13603497699207598
5,777,10.3,2236.032448377581,silky_shark,0.31864474977408097,0.13859350288444508,9.16988416988417e-4,3.9884114489566425e-4,5.181472720927527e-4,0.1800512468896359
5,777,10.3,2236.032448377581,tunas_and_billfishes,8.636949796507984,5.951820984982003,0.02485521235521235,0.01712801138913047,0.00772720096608188,2.6851288115259813
6,648,5.1,2298.2725694444443,blue_shark,0.05274053340044933,0.00990492944349902,1.8705574261129816e-4,3.512998092943892e-5,1.5192576168185923e-4,0.04283560395695031
6,648,5.1,2298.2725694444443,other_sharks_and_rays,0.06592566675056166,0.01556488912549846,2.338196782641227e-4,5.5204255746261166e-5,1.7861542251786154e-4,0.0503607776250632
6,648,5.1,2298.2725694444443,silky_shark,0.21096213360179733,0.21224848807497895,7.482229704451926e-4,7.527853056308341e-4,-4.562335185641451e-6,-0.00128635447318165
6,648,5.1,2298.2725694444443,tunas_and_billfishes,8.965890678076386,6.1382262751283925,0.03179947624392069,0.02177055103884372,0.01002892520507697,2.8276644029479936
7,695,9.9,2201.195476575121,blue_shark,0.05925633774772308,0.2815780394359323,1.8767594619956208e-4,8.918105132507413e-4,-7.041345670511793e-4,-0.2223217016882092
7,695,9.9,2201.195476575121,other_sharks_and_rays,0.02633615011009914,0,8.341153164424981e-5,0,8.341153164424981e-5,0.02633615011009914
7,695,9.9,2201.195476575121,silky_shark,0.2370253509908923,0,7.507037847982483e-4,0,7.507037847982483e-4,0.2370253509908923
7,695,9.9,2201.195476575121,tunas_and_billfishes,7.505802781378257,6.80867310821628,0.0237722865186112,0.0215643459673156,0.00220794055129559,0.6971296731619772
8,670,9.3,2334.0484330484333,blue_shark,0.02073097374033346,0.01127474010439188,7.221954742416948e-5,3.927729772191673e-5,3.294224970225275e-5,0.00945623363594158
8,670,9.3,2334.0484330484333,other_sharks_and_rays,0.02073097374033346,0.00634204130872043,7.221954742416948e-5,2.209347996857816e-5,5.012606745559132e-5,0.01438893243161303
8,670,9.3,2334.0484330484333,silky_shark,0.08292389496133387,0.00352335628262246,2.888781896966779e-4,1.227415553809898e-5,2.766040341585789e-4,0.07940053867871141
8,670,9.3,2334.0484330484333,tunas_and_billfishes,5.493708041188369,6.797258940435258,0.01913818006740491,0.02367930086410055,-0.00454112079669563,-1.303550899246889
9,310,10,2231.04609929078,blue_shark,0,0.15422631635211695,0,0.00110995490808185,-0.00110995490808185,-0.15422631635211695
