vesselID,species,datasource,quart,cf,month,year,tarcatch4,set_date,hooks1000,set_id,catch_cnt,company
17,Blue,Logbook,Q1,-0.55318977,9,2016,12,2016-09-10T00:00:00Z,2.3,6A0079B1-4692-F4EA-2127-39DA5C06D114,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,22,2016-09-08T00:00:00Z,2.3,82792554-4186-450D-7247-39DA5C06D114,2,A
17,Blue,Logbook,Q1,-0.55318977,12,2017,52,2017-12-01T00:00:00Z,2.4,A07CE2A8-EB75-B22B-9664-39E3A83CE417,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,9,2018-06-24T00:00:00Z,2.4,B5F05FA1-0886-4086-B06F-7FF7DBC993BA,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2017,22,2017-06-29T00:00:00Z,2.4,8FB561AA-8F74-69EA-5A74-39E046D0A0FB,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2017,37,2017-12-02T00:00:00Z,2.4,A136652C-454B-156E-50C4-39E3A84302A7,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2017,23,2017-09-30T00:00:00Z,2.4,24952F55-EB08-1D12-B2CA-39E23AAFCC24,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,18,2017-10-01T00:00:00Z,2.4,7AAD0DCB-514F-B4AF-EEE9-39E23AAFCC24,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,17,2016-06-19T00:00:00Z,2.3,0FAD816C-F04A-9AD9-00C2-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,23,2016-09-30T00:00:00Z,2.3,F3473EF4-60E1-86AF-AC08-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,8,2016-05-28T00:00:00Z,2.3,51D035EF-C3DB-B6FC-CEFC-39D87D66C2A3,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,21,2016-05-22T00:00:00Z,2.3,717FEF61-254F-5634-62BC-39D87D272766,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,34,2016-09-26T00:00:00Z,2.3,EF61492F-235E-3C44-6F39-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,11,2016-09-27T00:00:00Z,2.3,20E04A58-6881-47B4-7266-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,8,2017,53,2017-08-03T00:00:00Z,2.4,DDA74151-3A5E-9FA4-0B73-39E118CCD966,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2017,25,2017-06-30T00:00:00Z,2.4,4FFA45E1-4DCD-FADE-B361-39E046D0A0FB,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,14,2016-06-21T00:00:00Z,2.3,642C1E84-0928-9026-3679-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2016,18,2016-06-20T00:00:00Z,2.3,438D6D4C-787A-7A8B-A2DF-39D8A2915E60,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,5,2018-06-26T00:00:00Z,2.4,8FCA09A6-E19B-4B36-AA02-1FB2AA0240A1,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,25,2016-09-13T00:00:00Z,2.3,1E11B60D-E265-366C-B821-39DA5C0BFADC,0,A
17,Blue,Logbook,Q1,-0.55318977,8,2017,47,2017-08-01T00:00:00Z,2.4,317099B5-C398-EEA1-0ACC-39E118CCD966,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2017,83,2017-09-29T00:00:00Z,2.4,8A5B3909-7FF4-49E4-0A21-39E23AAFCC24,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2017,35,2017-06-28T00:00:00Z,2.4,B09DA967-9FEE-B904-6846-39E046D0A0FB,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2017,23,2017-07-04T00:00:00Z,2.4,C0BD0C11-16BF-1373-8D42-39E046D0A0FB,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2017,39,2017-07-03T00:00:00Z,2.4,8E586724-15EB-B6CD-F707-39E046D0A0FB,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2017,32,2017-07-02T00:00:00Z,2.4,2371F16C-E30B-6DDB-66C4-39E046D0A0FB,0,A
17,Blue,Logbook,Q1,-0.55318977,7,2017,38,2017-07-01T00:00:00Z,2.4,B593CFC4-8651-C7DB-02A7-39E046D0A0FB,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,51,2017-10-03T00:00:00Z,2.4,5A768403-7953-A34F-2F85-39E23AAFCC24,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2018,18,2018-09-02T00:00:00Z,2.4,5F120A7A-376C-4860-A114-5670EE2C8C85,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2017,43,2017-11-02T00:00:00Z,2.4,4CAF9DF1-2445-6D97-B2C8-39E2B64E8733,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2017,6,2017-11-03T00:00:00Z,2.4,4D16D5E8-4F17-8CD1-0977-39E2B64E8733,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2017,15,2017-11-30T00:00:00Z,2.4,E270BF2F-5637-D2DE-6413-39E3A83CE417,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,13,2018-06-06T00:00:00Z,2.4,081E925D-818E-8A50-8BDD-39E727E04F7B,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2017,34,2017-05-08T00:00:00Z,2.4,D5812191-C7B4-F651-1E2D-39DF40417A4A,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2017,21,2017-05-11T00:00:00Z,2.4,3E88F39A-71B3-CEA9-91A2-39DF40417A4A,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2018,12,2018-09-06T00:00:00Z,2.4,5F3965E9-56CC-4805-9A4C-43A26C65CA00,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2016,44,2016-11-30T00:00:00Z,2.3,C9B778FF-02DE-338E-F020-39DC0C9CFC42,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,16,2017-10-27T00:00:00Z,2.4,FB8B5173-B4B9-1B65-63B9-39E2B64A0A8C,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2016,22,2016-12-01T00:00:00Z,2.3,DA2E7B8A-590B-C86B-A570-39DC0C9CFC42,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2017,70,2017-11-27T00:00:00Z,2.4,83468F54-5FE1-61BC-DB2A-39E3A83ABBD6,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,108,2017-10-02T00:00:00Z,2.4,0CA80459-9AC2-43DC-7D8E-39E23AAFCC24,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2017,1,2017-05-09T00:00:00Z,2.4,D1451699-0E9E-CF5D-F003-39DF40417A4A,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2018,20,2018-10-27T00:00:00Z,2.4,A8146591-7D7B-49F5-8CB3-2AA3DAD93136,1,A
17,Blue,Logbook,Q1,-0.55318977,11,2017,69,2017-11-29T00:00:00Z,2.4,43D6E583-D64A-9DD7-1F87-39E3A83ABBD6,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2016,15,2016-10-01T00:00:00Z,2.3,96662010-AE69-1222-6742-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2017,4,2017-05-10T00:00:00Z,2.3,463932B8-6DBB-71BB-FDF2-39DF40417A4A,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2017,29,2017-05-07T00:00:00Z,2.4,832C5FAA-83D5-2B86-B7E1-39DF40417A4A,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2017,0,2017-05-12T00:00:00Z,2.4,5025473B-900F-BE28-EF43-39DF40417A4A,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2018,30,2018-05-21T00:00:00Z,2.4,00AF6E0D-9A73-E379-D7EB-39E6FE4F03F7,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,12,2016-09-14T00:00:00Z,2.3,78F278E2-1C73-36C9-107D-39DA5C0BFADC,0,A
17,Blue,Logbook,Q1,-0.55318977,12,2016,44,2016-12-14T00:00:00Z,2.3,A6067B14-C568-D630-0EBD-39DCA6F687E3,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2018,19,2018-09-03T00:00:00Z,2.4,D2748DEF-7778-4972-951A-A91914FF5C36,0,A
17,Blue,Logbook,Q1,-0.55318977,11,2018,24,2018-11-25T00:00:00Z,2.4,FB5D8EFA-0410-4BC7-B224-D65C38469D4E,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,15,2017-10-28T00:00:00Z,2.4,F52CDB71-86AB-D349-3C06-39E2B64A0A8C,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2018,18,2018-09-05T00:00:00Z,2.4,316051F4-24CF-40F9-BC79-B5D341CD271F,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2018,12,2018-05-24T00:00:00Z,2.4,1E703456-D21B-7CD1-0115-39E6FE4F03F7,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2018,22,2018-05-23T00:00:00Z,2.4,E5C76757-5BDC-5465-7DDF-39E6FE4F03F7,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2018,16,2018-09-04T00:00:00Z,2.4,9FAEB858-D6F5-46C4-B653-F452A8EDB333,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2018,37,2018-05-20T00:00:00Z,2.4,5D869A6D-642C-8E21-D8A6-39E6FE4F03F7,0,A
17,Blue,Logbook,Q1,-0.55318977,9,2016,5,2016-09-29T00:00:00Z,2.3,CF495D71-6991-2783-6D30-39DA9FCFFB42,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2018,19,2018-05-22T00:00:00Z,2.4,25874A1C-B18D-DD66-B52C-39E6FE4F03F7,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2016,5,2016-05-30T00:00:00Z,1.9,30C2B1C3-103A-30AF-E6CC-39D87D66C2A3,0,A
17,Blue,Logbook,Q1,-0.55318977,10,2017,13,2017-10-30T00:00:00Z,2.4,80AE166A-20ED-3E3E-F58F-39E2B64A0A8C,0,A
17,Blue,Logbook,Q1,-0.55318977,5,2018,27,2018-05-19T00:00:00Z,2.4,467A08E2-2EA1-FBF0-2FFE-39E6FE4F03F7,0,A
17,Blue,Logbook,Q1,-0.55318977,6,2018,23,2018-06-14T00:00:00Z,2.4,CDA7F095-75BF-5F1A-E126-39E727E04F7B,0,A
